Nombre_Prueba,AUC-ROC,F1-Score,Variables_Usadas
RandomForest v1.0,0.5008,0.0233,"['Country_Canada', 'Country_India', 'Country_United Kingdom', 'Country_United States', 'PaymentMethod_Cash on Delivery', 'PaymentMethod_Credit Card', 'PaymentMethod_Debit Card', 'PaymentMethod_Net Banking', 'PaymentMethod_UPI', 'State_ACT', 'State_AZ', 'State_BC', 'State_BR', 'State_BST', 'State_CA', 'State_CO', 'State_DC', 'State_DL', 'State_FL', 'State_GJ', 'State_GMC', 'State_HAM', 'State_IL', 'State_IN', 'State_KA', 'State_LDN', 'State_LEC', 'State_MB', 'State_MH', 'State_MP', 'State_MSY', 'State_NB', 'State_NC', 'State_NIR', 'State_NL', 'State_NS', 'State_NSW', 'State_NT', 'State_NTT', 'State_NY', 'State_OH', 'State_ON', 'State_PA', 'State_PE', 'State_QC', 'State_QLD', 'State_RJ', 'State_SA', 'State_SCT', 'State_SK', 'State_SYK', 'State_TAS', 'State_TG', 'State_TN', 'State_TX', 'State_UP', 'State_VIC', 'State_WA', 'State_WB', 'State_WLS', 'State_WM', 'State_WYK', 'State_YT', 'Category_Clothing', 'Category_Electronics', 'Category_Home & Kitchen', 'Category_Sports & Outdoors', 'Category_Toys & Games', 'Product_Value', 'Day', 'Quantity']"
XGBoost v1.0,0.5055,0.0749,"['Country_Canada', 'Country_India', 'Country_United Kingdom', 'Country_United States', 'PaymentMethod_Cash on Delivery', 'PaymentMethod_Credit Card', 'PaymentMethod_Debit Card', 'PaymentMethod_Net Banking', 'PaymentMethod_UPI', 'State_ACT', 'State_AZ', 'State_BC', 'State_BR', 'State_BST', 'State_CA', 'State_CO', 'State_DC', 'State_DL', 'State_FL', 'State_GJ', 'State_GMC', 'State_HAM', 'State_IL', 'State_IN', 'State_KA', 'State_LDN', 'State_LEC', 'State_MB', 'State_MH', 'State_MP', 'State_MSY', 'State_NB', 'State_NC', 'State_NIR', 'State_NL', 'State_NS', 'State_NSW', 'State_NT', 'State_NTT', 'State_NY', 'State_OH', 'State_ON', 'State_PA', 'State_PE', 'State_QC', 'State_QLD', 'State_RJ', 'State_SA', 'State_SCT', 'State_SK', 'State_SYK', 'State_TAS', 'State_TG', 'State_TN', 'State_TX', 'State_UP', 'State_VIC', 'State_WA', 'State_WB', 'State_WLS', 'State_WM', 'State_WYK', 'State_YT', 'Category_Clothing', 'Category_Electronics', 'Category_Home & Kitchen', 'Category_Sports & Outdoors', 'Category_Toys & Games', 'Product_Value', 'Day', 'Quantity']"
CatBoost v1.0,0.5067,0.0747,"['Country', 'PaymentMethod', 'State', 'Category', 'Product_Value', 'Day', 'Quantity']"
